date_order,day_of_week_order,date_wh_receive,day_of_week_wh_receive,CW,items
2022-01-01,6,2022-01-01,6,52,18338
2022-01-01,6,2022-01-02,7,52,408
2022-01-01,6,2022-01-03,1,1,2551
2022-01-01,6,2022-01-04,2,1,11965
2022-01-01,6,2022-01-05,3,1,180
2022-01-01,6,2022-01-06,4,1,10
2022-01-01,6,2022-01-07,5,1,12
2022-01-01,6,2022-01-08,6,1,96
2022-01-01,6,2022-01-09,7,1,1
2022-01-01,6,2022-01-10,1,2,13
2022-01-01,6,2022-01-11,2,2,10
2022-01-01,6,2022-01-12,3,2,30
2022-01-02,7,2022-01-02,7,52,26711
2022-01-02,7,2022-01-03,1,1,3537
2022-01-02,7,2022-01-04,2,1,21783
2022-01-02,7,2022-01-05,3,1,279
2022-01-02,7,2022-01-06,4,1,40
2022-01-02,7,2022-01-07,5,1,92
2022-01-02,7,2022-01-08,6,1,15
2022-01-02,7,2022-01-09,7,1,49
2022-01-02,7,2022-01-10,1,2,8
2022-01-02,7,2022-01-11,2,2,8
2022-01-02,7,2022-01-12,3,2,7
2022-01-03,1,2022-01-03,1,1,26397
2022-01-03,1,2022-01-04,2,1,22996
2022-01-03,1,2022-01-05,3,1,39937
2022-01-03,1,2022-01-06,4,1,136
2022-01-03,1,2022-01-07,5,1,217
2022-01-03,1,2022-01-08,6,1,206
2022-01-03,1,2022-01-10,1,2,125
2022-01-03,1,2022-01-11,2,2,36
2022-01-03,1,2022-01-12,3,2,55
2022-01-03,1,2022-01-13,4,2,7
2022-01-04,2,2022-01-04,2,1,37005
2022-01-04,2,2022-01-05,3,1,24346
2022-01-04,2,2022-01-06,4,1,21619
2022-01-04,2,2022-01-07,5,1,356
2022-01-04,2,2022-01-08,6,1,198
2022-01-04,2,2022-01-10,1,2,77
2022-01-04,2,2022-01-11,2,2,86
2022-01-04,2,2022-01-12,3,2,105
2022-01-04,2,2022-01-13,4,2,12
2022-01-04,2,2022-01-14,5,2,5
2022-01-04,2,2022-01-15,6,2,7
2022-01-04,2,2022-01-17,1,3,11
2022-01-04,2,2022-01-18,2,3,4
2022-01-05,3,2022-01-05,3,1,28878
2022-01-05,3,2022-01-06,4,1,8926
2022-01-05,3,2022-01-07,5,1,17464
2022-01-05,3,2022-01-08,6,1,11158
2022-01-05,3,2022-01-09,7,1,5
2022-01-05,3,2022-01-10,1,2,106
2022-01-05,3,2022-01-11,2,2,120
2022-01-05,3,2022-01-12,3,2,62
2022-01-05,3,2022-01-13,4,2,74
2022-01-05,3,2022-01-14,5,2,14
2022-01-05,3,2022-01-15,6,2,8
2022-01-05,3,2022-01-20,4,3,3
2022-01-06,4,2022-01-06,4,1,39786
2022-01-06,4,2022-01-07,5,1,16103
2022-01-06,4,2022-01-08,6,1,17458
2022-01-06,4,2022-01-09,7,1,210
2022-01-06,4,2022-01-10,1,2,464
2022-01-06,4,2022-01-11,2,2,272
2022-01-06,4,2022-01-12,3,2,90
2022-01-06,4,2022-01-13,4,2,72
2022-01-06,4,2022-01-14,5,2,82
2022-01-06,4,2022-01-15,6,2,13
2022-01-06,4,2022-01-17,1,3,7
2022-01-06,4,2022-01-18,2,3,8
2022-01-06,4,2022-01-19,3,3,7
2022-01-07,5,2022-01-07,5,1,28527
2022-01-07,5,2022-01-08,6,1,8741
2022-01-07,5,2022-01-09,7,1,12
2022-01-07,5,2022-01-10,1,2,9370
2022-01-07,5,2022-01-11,2,2,2120
2022-01-07,5,2022-01-12,3,2,159
2022-01-07,5,2022-01-13,4,2,96
2022-01-07,5,2022-01-14,5,2,136
2022-01-07,5,2022-01-15,6,2,26
2022-01-07,5,2022-01-17,1,3,10
2022-01-07,5,2022-01-18,2,3,14
2022-01-07,5,2022-01-19,3,3,1
2022-01-07,5,2022-01-20,4,3,9
2022-01-08,6,2022-01-08,6,1,23256
2022-01-08,6,2022-01-09,7,1,235
2022-01-08,6,2022-01-10,1,2,15727
2022-01-08,6,2022-01-11,2,2,3078
2022-01-08,6,2022-01-12,3,2,275
2022-01-08,6,2022-01-13,4,2,57
2022-01-08,6,2022-01-14,5,2,33
2022-01-08,6,2022-01-15,6,2,8
2022-01-08,6,2022-01-16,7,2,12
2022-01-08,6,2022-01-17,1,3,6
2022-01-08,6,2022-01-18,2,3,13
2022-01-08,6,2022-01-19,3,3,5
2022-01-08,6,2022-01-20,4,3,6
2022-01-09,7,2022-01-09,7,1,35268
2022-01-09,7,2022-01-10,1,2,10197
2022-01-09,7,2022-01-11,2,2,17709
2022-01-09,7,2022-01-12,3,2,270
2022-01-09,7,2022-01-13,4,2,82
2022-01-09,7,2022-01-14,5,2,103
2022-01-09,7,2022-01-15,6,2,24
2022-01-09,7,2022-01-16,7,2,15
2022-01-09,7,2022-01-17,1,3,77
2022-01-09,7,2022-01-18,2,3,35
2022-01-09,7,2022-01-19,3,3,25
2022-01-10,1,2022-01-10,1,2,36245
2022-01-10,1,2022-01-11,2,2,19124
2022-01-10,1,2022-01-12,3,2,22243
2022-01-10,1,2022-01-13,4,2,297
2022-01-10,1,2022-01-14,5,2,95
2022-01-10,1,2022-01-15,6,2,86
2022-01-10,1,2022-01-16,7,2,37
2022-01-10,1,2022-01-17,1,3,121
2022-01-10,1,2022-01-18,2,3,93
2022-01-10,1,2022-01-19,3,3,88
2022-01-10,1,2022-01-20,4,3,32
2022-01-10,1,2022-01-25,2,4,1
2022-01-10,1,2022-01-27,4,4,13
2022-01-11,2,2022-01-11,2,2,43875
2022-01-11,2,2022-01-12,3,2,27694
2022-01-11,2,2022-01-13,4,2,19227
2022-01-11,2,2022-01-14,5,2,534
2022-01-11,2,2022-01-15,6,2,123
2022-01-11,2,2022-01-16,7,2,15
2022-01-11,2,2022-01-17,1,3,102
2022-01-11,2,2022-01-18,2,3,78
2022-01-11,2,2022-01-19,3,3,104
2022-01-11,2,2022-01-20,4,3,72
2022-01-11,2,2022-01-21,5,3,23
2022-01-11,2,2022-01-22,6,3,10
2022-01-12,3,2022-01-12,3,2,34423
2022-01-12,3,2022-01-13,4,2,16920
2022-01-12,3,2022-01-14,5,2,18037
2022-01-12,3,2022-01-15,6,2,208
2022-01-12,3,2022-01-16,7,2,37
2022-01-12,3,2022-01-17,1,3,235
2022-01-12,3,2022-01-18,2,3,162
2022-01-12,3,2022-01-19,3,3,98
2022-01-12,3,2022-01-20,4,3,160
2022-01-12,3,2022-01-21,5,3,28
2022-01-12,3,2022-01-22,6,3,7
2022-01-12,3,2022-01-24,1,4,14
2022-01-12,3,2022-01-25,2,4,5
2022-01-12,3,2022-01-26,3,4,1
2022-01-13,4,2022-01-13,4,2,32005
2022-01-13,4,2022-01-14,5,2,26004
2022-01-13,4,2022-01-15,6,2,14567
2022-01-13,4,2022-01-16,7,2,2177
2022-01-13,4,2022-01-17,1,3,609
2022-01-13,4,2022-01-18,2,3,209
2022-01-13,4,2022-01-19,3,3,198
2022-01-13,4,2022-01-20,4,3,101
2022-01-13,4,2022-01-21,5,3,18
2022-01-13,4,2022-01-22,6,3,30
2022-01-13,4,2022-01-23,7,3,1
2022-01-13,4,2022-01-24,1,4,6
2022-01-13,4,2022-01-25,2,4,12
2022-01-14,5,2022-01-14,5,2,36288
2022-01-14,5,2022-01-15,6,2,7379
2022-01-14,5,2022-01-16,7,2,3245
2022-01-14,5,2022-01-17,1,3,15795
2022-01-14,5,2022-01-18,2,3,6362
2022-01-14,5,2022-01-19,3,3,292
2022-01-14,5,2022-01-20,4,3,132
2022-01-14,5,2022-01-21,5,3,66
2022-01-14,5,2022-01-22,6,3,36
2022-01-14,5,2022-01-24,1,4,12
2022-01-14,5,2022-01-25,2,4,68
2022-01-14,5,2022-01-26,3,4,8
2022-01-15,6,2022-01-15,6,2,20704
2022-01-15,6,2022-01-16,7,2,184
2022-01-15,6,2022-01-17,1,3,25847
2022-01-15,6,2022-01-18,2,3,10831
2022-01-15,6,2022-01-19,3,3,607
2022-01-15,6,2022-01-20,4,3,182
2022-01-15,6,2022-01-21,5,3,38
2022-01-15,6,2022-01-22,6,3,30
2022-01-15,6,2022-01-24,1,4,14
2022-01-15,6,2022-01-25,2,4,7
2022-01-15,6,2022-01-26,3,4,25
2022-01-16,7,2022-01-16,7,2,29994
2022-01-16,7,2022-01-17,1,3,12445
2022-01-16,7,2022-01-18,2,3,44144
2022-01-16,7,2022-01-19,3,3,622
2022-01-16,7,2022-01-20,4,3,315
2022-01-16,7,2022-01-21,5,3,90
2022-01-16,7,2022-01-22,6,3,26
2022-01-16,7,2022-01-23,7,3,64
2022-01-16,7,2022-01-24,1,4,10
2022-01-16,7,2022-01-25,2,4,6
2022-01-16,7,2022-01-26,3,4,55
2022-01-16,7,2022-01-27,4,4,22
2022-01-16,7,2022-01-29,6,4,5
2022-01-17,1,2022-01-17,1,3,28651
2022-01-17,1,2022-01-18,2,3,29044
2022-01-17,1,2022-01-19,3,3,34134
2022-01-17,1,2022-01-20,4,3,761
2022-01-17,1,2022-01-21,5,3,124
2022-01-17,1,2022-01-22,6,3,40
2022-01-17,1,2022-01-23,7,3,2
2022-01-17,1,2022-01-24,1,4,104
2022-01-17,1,2022-01-25,2,4,20
2022-01-17,1,2022-01-26,3,4,52
2022-01-17,1,2022-01-27,4,4,12
2022-01-17,1,2022-01-28,5,4,5
2022-01-18,2,2022-01-18,2,3,33337
2022-01-18,2,2022-01-19,3,3,32276
2022-01-18,2,2022-01-20,4,3,22725
2022-01-18,2,2022-01-21,5,3,349
2022-01-18,2,2022-01-22,6,3,148
2022-01-18,2,2022-01-24,1,4,28
2022-01-18,2,2022-01-25,2,4,81
2022-01-18,2,2022-01-26,3,4,45
2022-01-18,2,2022-01-27,4,4,19
2022-01-18,2,2022-01-28,5,4,53
2022-01-18,2,2022-01-29,6,4,7
2022-01-18,2,2022-01-31,1,5,3
2022-01-18,2,2022-02-01,2,5,9
2022-01-18,2,2022-02-02,3,5,3
2022-01-19,3,2022-01-19,3,3,32565
2022-01-19,3,2022-01-20,4,3,24697
2022-01-19,3,2022-01-21,5,3,23497
2022-01-19,3,2022-01-22,6,3,495
2022-01-19,3,2022-01-23,7,3,79
2022-01-19,3,2022-01-24,1,4,230
2022-01-19,3,2022-01-25,2,4,298
2022-01-19,3,2022-01-26,3,4,238
2022-01-19,3,2022-01-27,4,4,48
2022-01-19,3,2022-01-28,5,4,65
2022-01-19,3,2022-01-29,6,4,7
2022-01-19,3,2022-01-31,1,5,9
2022-01-19,3,2022-02-01,2,5,19
2022-01-19,3,2022-02-04,5,5,31
2022-01-20,4,2022-01-20,4,3,43197
2022-01-20,4,2022-01-21,5,3,29009
2022-01-20,4,2022-01-22,6,3,20891
2022-01-20,4,2022-01-23,7,3,476
2022-01-20,4,2022-01-24,1,4,1198
2022-01-20,4,2022-01-25,2,4,727
2022-01-20,4,2022-01-26,3,4,194
2022-01-20,4,2022-01-27,4,4,186
2022-01-20,4,2022-01-28,5,4,57
2022-01-20,4,2022-01-29,6,4,39
2022-01-20,4,2022-01-31,1,5,14
2022-01-20,4,2022-02-01,2,5,28
2022-01-20,4,2022-02-02,3,5,2
2022-01-20,4,2022-02-03,4,5,1
2022-01-21,5,2022-01-21,5,3,37819
2022-01-21,5,2022-01-22,6,3,15506
2022-01-21,5,2022-01-23,7,3,870
2022-01-21,5,2022-01-24,1,4,13216
2022-01-21,5,2022-01-25,2,4,4560
2022-01-21,5,2022-01-26,3,4,251
2022-01-21,5,2022-01-27,4,4,98
2022-01-21,5,2022-01-28,5,4,105
2022-01-21,5,2022-01-29,6,4,40
2022-01-21,5,2022-01-31,1,5,32
2022-01-21,5,2022-02-01,2,5,19
2022-01-21,5,2022-02-02,3,5,37
2022-01-21,5,2022-02-09,3,6,16
2022-01-22,6,2022-01-22,6,3,21429
2022-01-22,6,2022-01-23,7,3,174
2022-01-22,6,2022-01-24,1,4,24620
2022-01-22,6,2022-01-25,2,4,10095
2022-01-22,6,2022-01-26,3,4,384
2022-01-22,6,2022-01-27,4,4,70
2022-01-22,6,2022-01-28,5,4,26
2022-01-22,6,2022-01-29,6,4,45
2022-01-22,6,2022-01-31,1,5,9
2022-01-22,6,2022-02-01,2,5,13
2022-01-22,6,2022-02-02,3,5,70
2022-01-22,6,2022-02-05,6,5,5
2022-01-23,7,2022-01-23,7,3,43137
2022-01-23,7,2022-01-24,1,4,16145
2022-01-23,7,2022-01-25,2,4,66254
2022-01-23,7,2022-01-26,3,4,1444
2022-01-23,7,2022-01-27,4,4,1569
2022-01-23,7,2022-01-28,5,4,278
2022-01-23,7,2022-01-29,6,4,138
2022-01-23,7,2022-01-30,7,4,80
2022-01-23,7,2022-01-31,1,5,202
2022-01-23,7,2022-02-01,2,5,187
2022-01-23,7,2022-02-02,3,5,242
2022-01-23,7,2022-02-03,4,5,22
2022-01-24,1,2022-01-24,1,4,38017
2022-01-24,1,2022-01-25,2,4,35749
2022-01-24,1,2022-01-26,3,4,61991
2022-01-24,1,2022-01-27,4,4,814
2022-01-24,1,2022-01-28,5,4,337
2022-01-24,1,2022-01-29,6,4,154
2022-01-24,1,2022-01-31,1,5,436
2022-01-24,1,2022-02-01,2,5,238
2022-01-24,1,2022-02-02,3,5,284
2022-01-24,1,2022-02-03,4,5,108
2022-01-24,1,2022-02-04,5,5,23
2022-01-25,2,2022-01-25,2,4,50788
2022-01-25,2,2022-01-26,3,4,54253
2022-01-25,2,2022-01-27,4,4,60645
2022-01-25,2,2022-01-28,5,4,1149
2022-01-25,2,2022-01-29,6,4,218
2022-01-25,2,2022-01-31,1,5,253
2022-01-25,2,2022-02-01,2,5,302
2022-01-25,2,2022-02-02,3,5,593
2022-01-25,2,2022-02-03,4,5,362
2022-01-25,2,2022-02-04,5,5,47
2022-01-25,2,2022-02-05,6,5,29
2022-01-25,2,2022-02-07,1,6,40
2022-01-25,2,2022-02-08,2,6,21
2022-01-25,2,2022-02-11,5,6,9
2022-01-25,2,2022-02-15,2,7,6
2022-01-26,3,2022-01-26,3,4,23450
2022-01-26,3,2022-01-27,4,4,8441
2022-01-26,3,2022-01-28,5,4,12575
2022-01-26,3,2022-01-29,6,4,88
2022-01-26,3,2022-01-31,1,5,96
2022-01-26,3,2022-02-01,2,5,41
2022-01-26,3,2022-02-02,3,5,43
2022-01-26,3,2022-02-03,4,5,22
2022-01-26,3,2022-02-04,5,5,4
2022-01-26,3,2022-02-05,6,5,1
2022-01-26,3,2022-02-07,1,6,10
2022-01-27,4,2022-01-27,4,4,33470
2022-01-27,4,2022-01-28,5,4,27185
2022-01-27,4,2022-01-29,6,4,8994
2022-01-27,4,2022-01-31,1,5,775
2022-01-27,4,2022-02-01,2,5,184
2022-01-27,4,2022-02-02,3,5,205
2022-01-27,4,2022-02-03,4,5,101
2022-01-27,4,2022-02-04,5,5,81
2022-01-27,4,2022-02-05,6,5,38
2022-01-27,4,2022-02-07,1,6,3
2022-01-27,4,2022-02-08,2,6,4
2022-01-28,5,2022-01-28,5,4,32003
2022-01-28,5,2022-01-29,6,4,15698
2022-01-28,5,2022-01-30,7,4,14
2022-01-28,5,2022-01-31,1,5,13229
2022-01-28,5,2022-02-01,2,5,2875
2022-01-28,5,2022-02-02,3,5,227
2022-01-28,5,2022-02-03,4,5,141
2022-01-28,5,2022-02-04,5,5,80
2022-01-28,5,2022-02-05,6,5,31
2022-01-28,5,2022-02-08,2,6,6
2022-01-28,5,2022-02-09,3,6,11
2022-01-29,6,2022-01-29,6,4,17800
2022-01-29,6,2022-01-30,7,4,151
2022-01-29,6,2022-01-31,1,5,27226
2022-01-29,6,2022-02-01,2,5,4501
2022-01-29,6,2022-02-02,3,5,438
2022-01-29,6,2022-02-03,4,5,86
2022-01-29,6,2022-02-04,5,5,71
2022-01-29,6,2022-02-05,6,5,35
2022-01-29,6,2022-02-06,7,5,6
2022-01-29,6,2022-02-07,1,6,14
2022-01-29,6,2022-02-08,2,6,8
2022-01-29,6,2022-02-09,3,6,3
2022-01-29,6,2022-02-10,4,6,1
2022-01-29,6,2022-02-12,6,6,2
2022-01-30,7,2022-01-30,7,4,23575
2022-01-30,7,2022-01-31,1,5,9414
2022-01-30,7,2022-02-01,2,5,12836
2022-01-30,7,2022-02-02,3,5,472
2022-01-30,7,2022-02-03,4,5,110
2022-01-30,7,2022-02-04,5,5,53
2022-01-30,7,2022-02-05,6,5,31
2022-01-30,7,2022-02-06,7,5,4
2022-01-30,7,2022-02-07,1,6,52
2022-01-30,7,2022-02-08,2,6,5
2022-01-30,7,2022-02-09,3,6,7
2022-01-30,7,2022-02-10,4,6,3
2022-01-31,1,2022-01-31,1,5,20808
2022-01-31,1,2022-02-01,2,5,9663
2022-01-31,1,2022-02-02,3,5,16355
2022-01-31,1,2022-02-03,4,5,328
2022-01-31,1,2022-02-04,5,5,88
2022-01-31,1,2022-02-05,6,5,15
2022-01-31,1,2022-02-07,1,6,65
2022-01-31,1,2022-02-08,2,6,9
2022-01-31,1,2022-02-09,3,6,25
2022-01-31,1,2022-02-10,4,6,8
2022-02-01,2,2022-02-01,2,5,39623
2022-02-01,2,2022-02-02,3,5,16392
2022-02-01,2,2022-02-03,4,5,14782
2022-02-01,2,2022-02-04,5,5,330
2022-02-01,2,2022-02-05,6,5,53
2022-02-01,2,2022-02-07,1,6,23
2022-02-01,2,2022-02-08,2,6,79
2022-02-01,2,2022-02-09,3,6,67
2022-02-01,2,2022-02-10,4,6,13
2022-02-01,2,2022-02-11,5,6,13
2022-02-01,2,2022-02-12,6,6,11
2022-02-02,3,2022-02-02,3,5,32922
2022-02-02,3,2022-02-03,4,5,17811
2022-02-02,3,2022-02-04,5,5,15017
2022-02-02,3,2022-02-05,6,5,343
2022-02-02,3,2022-02-06,7,5,9
2022-02-02,3,2022-02-07,1,6,144
2022-02-02,3,2022-02-08,2,6,106
2022-02-02,3,2022-02-09,3,6,108
2022-02-02,3,2022-02-10,4,6,55
2022-02-02,3,2022-02-11,5,6,14
2022-02-02,3,2022-02-12,6,6,3
2022-02-02,3,2022-02-14,1,7,6
2022-02-03,4,2022-02-03,4,5,41786
2022-02-03,4,2022-02-04,5,5,33877
2022-02-03,4,2022-02-05,6,5,14838
2022-02-03,4,2022-02-06,7,5,31
2022-02-03,4,2022-02-07,1,6,1199
2022-02-03,4,2022-02-08,2,6,198
2022-02-03,4,2022-02-09,3,6,125
2022-02-03,4,2022-02-10,4,6,137
2022-02-03,4,2022-02-11,5,6,20
2022-02-03,4,2022-02-12,6,6,19
2022-02-03,4,2022-02-15,2,7,8
2022-02-03,4,2022-02-16,3,7,3
2022-02-04,5,2022-02-04,5,5,34459
2022-02-04,5,2022-02-05,6,5,16384
2022-02-04,5,2022-02-06,7,5,7
2022-02-04,5,2022-02-07,1,6,10459
2022-02-04,5,2022-02-08,2,6,3418
2022-02-04,5,2022-02-09,3,6,205
2022-02-04,5,2022-02-10,4,6,72
2022-02-04,5,2022-02-11,5,6,81
2022-02-04,5,2022-02-12,6,6,20
2022-02-04,5,2022-02-14,1,7,43
2022-02-04,5,2022-02-15,2,7,8
2022-02-04,5,2022-02-16,3,7,10
2022-02-04,5,2022-02-17,4,7,8
2022-02-05,6,2022-02-05,6,5,15459
2022-02-05,6,2022-02-06,7,5,119
2022-02-05,6,2022-02-07,1,6,25325
2022-02-05,6,2022-02-08,2,6,3846
2022-02-05,6,2022-02-09,3,6,310
2022-02-05,6,2022-02-10,4,6,39
2022-02-05,6,2022-02-11,5,6,68
2022-02-05,6,2022-02-12,6,6,41
2022-02-05,6,2022-02-14,1,7,8
2022-02-05,6,2022-02-15,2,7,4
2022-02-05,6,2022-02-16,3,7,8
2022-02-06,7,2022-02-06,7,5,36498
2022-02-06,7,2022-02-07,1,6,18342
2022-02-06,7,2022-02-08,2,6,16723
2022-02-06,7,2022-02-09,3,6,252
2022-02-06,7,2022-02-10,4,6,222
2022-02-06,7,2022-02-11,5,6,78
2022-02-06,7,2022-02-12,6,6,37
2022-02-06,7,2022-02-13,7,6,5
2022-02-06,7,2022-02-14,1,7,16
2022-02-06,7,2022-02-15,2,7,54
2022-02-06,7,2022-02-16,3,7,7
2022-02-07,1,2022-02-07,1,6,25719
2022-02-07,1,2022-02-08,2,6,12235
2022-02-07,1,2022-02-09,3,6,17993
2022-02-07,1,2022-02-10,4,6,325
2022-02-07,1,2022-02-11,5,6,139
2022-02-07,1,2022-02-12,6,6,26
2022-02-07,1,2022-02-14,1,7,40
2022-02-07,1,2022-02-15,2,7,33
2022-02-07,1,2022-02-16,3,7,66
2022-02-07,1,2022-02-17,4,7,4
2022-02-08,2,2022-02-08,2,6,36749
2022-02-08,2,2022-02-09,3,6,22527
2022-02-08,2,2022-02-10,4,6,18347
2022-02-08,2,2022-02-11,5,6,437
2022-02-08,2,2022-02-12,6,6,77
2022-02-08,2,2022-02-14,1,7,131
2022-02-08,2,2022-02-15,2,7,346
2022-02-08,2,2022-02-16,3,7,36
2022-02-08,2,2022-02-17,4,7,10
2022-02-08,2,2022-02-18,5,7,13
2022-02-08,2,2022-02-19,6,7,2
2022-02-08,2,2022-02-21,1,8,32
2022-02-09,3,2022-02-09,3,6,34357
2022-02-09,3,2022-02-10,4,6,15634
2022-02-09,3,2022-02-11,5,6,17281
2022-02-09,3,2022-02-12,6,6,275
2022-02-09,3,2022-02-14,1,7,289
2022-02-09,3,2022-02-15,2,7,142
2022-02-09,3,2022-02-16,3,7,86
2022-02-09,3,2022-02-17,4,7,57
2022-02-09,3,2022-02-18,5,7,11
2022-02-09,3,2022-02-19,6,7,14
2022-02-09,3,2022-02-21,1,8,19
2022-02-10,4,2022-02-10,4,6,34387
2022-02-10,4,2022-02-11,5,6,20527
2022-02-10,4,2022-02-12,6,6,17781
2022-02-10,4,2022-02-13,7,6,364
2022-02-10,4,2022-02-14,1,7,1188
2022-02-10,4,2022-02-15,2,7,444
2022-02-10,4,2022-02-16,3,7,160
2022-02-10,4,2022-02-17,4,7,284
2022-02-10,4,2022-02-18,5,7,49
2022-02-10,4,2022-02-19,6,7,7
2022-02-10,4,2022-02-21,1,8,16
2022-02-10,4,2022-02-22,2,8,34
2022-02-10,4,2022-03-01,2,9,1
2022-02-11,5,2022-02-11,5,6,27842
2022-02-11,5,2022-02-12,6,6,15982
2022-02-11,5,2022-02-13,7,6,82
2022-02-11,5,2022-02-14,1,7,12336
2022-02-11,5,2022-02-15,2,7,2317
2022-02-11,5,2022-02-16,3,7,238
2022-02-11,5,2022-02-17,4,7,78
2022-02-11,5,2022-02-18,5,7,108
2022-02-11,5,2022-02-19,6,7,7
2022-02-11,5,2022-02-21,1,8,25
2022-02-11,5,2022-02-22,2,8,13
2022-02-11,5,2022-02-23,3,8,9
2022-02-12,6,2022-02-12,6,6,26170
2022-02-12,6,2022-02-13,7,6,193
2022-02-12,6,2022-02-14,1,7,21227
2022-02-12,6,2022-02-15,2,7,2517
2022-02-12,6,2022-02-16,3,7,276
2022-02-12,6,2022-02-17,4,7,49
2022-02-12,6,2022-02-18,5,7,36
2022-02-12,6,2022-02-19,6,7,34
2022-02-12,6,2022-02-21,1,8,51
2022-02-12,6,2022-02-22,2,8,15
2022-02-12,6,2022-02-23,3,8,14
2022-02-12,6,2022-02-24,4,8,9
2022-02-13,7,2022-02-13,7,6,33925
2022-02-13,7,2022-02-14,1,7,11404
2022-02-13,7,2022-02-15,2,7,19547
2022-02-13,7,2022-02-16,3,7,492
2022-02-13,7,2022-02-17,4,7,151
2022-02-13,7,2022-02-18,5,7,31
2022-02-13,7,2022-02-19,6,7,47
2022-02-13,7,2022-02-20,7,7,51
2022-02-13,7,2022-02-21,1,8,17
2022-02-13,7,2022-02-22,2,8,23
2022-02-13,7,2022-02-23,3,8,4
2022-02-13,7,2022-03-01,2,9,1
2022-02-14,1,2022-02-14,1,7,26116
2022-02-14,1,2022-02-15,2,7,15489
2022-02-14,1,2022-02-16,3,7,25391
2022-02-14,1,2022-02-17,4,7,322
2022-02-14,1,2022-02-18,5,7,175
2022-02-14,1,2022-02-19,6,7,30
2022-02-14,1,2022-02-21,1,8,235
2022-02-14,1,2022-02-22,2,8,71
2022-02-14,1,2022-02-23,3,8,43
2022-02-14,1,2022-02-24,4,8,21
2022-02-14,1,2022-03-11,5,10,13
2022-02-15,2,2022-02-15,2,7,26347
2022-02-15,2,2022-02-16,3,7,7094
2022-02-15,2,2022-02-17,4,7,10776
2022-02-15,2,2022-02-18,5,7,170
2022-02-15,2,2022-02-19,6,7,16
2022-02-15,2,2022-02-21,1,8,71
2022-02-15,2,2022-02-22,2,8,105
2022-02-15,2,2022-02-23,3,8,36
2022-02-15,2,2022-02-24,4,8,15
2022-02-15,2,2022-02-25,5,8,5
2022-02-15,2,2022-02-26,6,8,2
2022-02-16,3,2022-02-16,3,7,36028
2022-02-16,3,2022-02-17,4,7,25337
2022-02-16,3,2022-02-18,5,7,16792
2022-02-16,3,2022-02-19,6,7,108
2022-02-16,3,2022-02-21,1,8,175
2022-02-16,3,2022-02-22,2,8,81
2022-02-16,3,2022-02-23,3,8,90
2022-02-16,3,2022-02-24,4,8,11
2022-02-16,3,2022-02-25,5,8,60
2022-02-16,3,2022-02-26,6,8,10
2022-02-16,3,2022-02-28,1,9,6
2022-02-16,3,2022-03-01,2,9,3
2022-02-17,4,2022-02-17,4,7,32026
2022-02-17,4,2022-02-18,5,7,11329
2022-02-17,4,2022-02-19,6,7,5289
2022-02-17,4,2022-02-21,1,8,4857
2022-02-17,4,2022-02-22,2,8,476
2022-02-17,4,2022-02-23,3,8,92
2022-02-17,4,2022-02-24,4,8,67
2022-02-17,4,2022-02-25,5,8,29
2022-02-17,4,2022-02-26,6,8,6
2022-02-17,4,2022-02-28,1,9,23
2022-02-17,4,2022-03-01,2,9,15
2022-02-17,4,2022-03-02,3,9,5
2022-02-18,5,2022-02-18,5,7,30803
2022-02-18,5,2022-02-19,6,7,8873
2022-02-18,5,2022-02-20,7,7,5
2022-02-18,5,2022-02-21,1,8,20845
2022-02-18,5,2022-02-22,2,8,1974
2022-02-18,5,2022-02-23,3,8,149
2022-02-18,5,2022-02-24,4,8,58
2022-02-18,5,2022-02-25,5,8,64
2022-02-18,5,2022-02-26,6,8,14
2022-02-18,5,2022-02-28,1,9,14
2022-02-18,5,2022-03-01,2,9,29
2022-02-18,5,2022-03-02,3,9,13
2022-02-19,6,2022-02-19,6,7,24652
2022-02-19,6,2022-02-20,7,7,239
2022-02-19,6,2022-02-21,1,8,30647
2022-02-19,6,2022-02-22,2,8,2921
2022-02-19,6,2022-02-23,3,8,275
