date_order,day_of_week_order,Forecated_items
2022-06-01,3,80882
2022-06-02,4,58562
2022-06-03,5,55809
2022-06-04,6,48880
2022-06-05,7,49208
2022-06-06,1,95054
2022-06-07,2,85063
2022-06-08,3,116982
2022-06-09,4,64054
2022-06-10,5,63875
2022-06-11,6,54476
2022-06-12,7,76743
2022-06-13,1,95749
2022-06-14,2,111128
2022-06-15,3,75522
2022-06-16,4,109325
2022-06-17,5,70030
2022-06-18,6,49347
2022-06-19,7,65521
2022-06-20,1,71499
2022-06-21,2,78867
2022-06-22,3,74948
2022-06-23,4,79843
2022-06-24,5,69487
2022-06-25,6,61908
2022-06-26,7,99885
2022-06-27,1,106465
2022-06-28,2,183785
2022-06-29,3,95631
2022-06-30,4,85082